Регион,reg2,reg3,reg4,abon100
РЕСП. БУРЯТИЯ,Бурятия,Бурятия,3,"5,45"
РЕСП. ТЫВА,Тыва,Тыва,17,"1,39"
РЕСП. ХАКАСИЯ,Хакасия,Хакасия,19,"8,22"
АЛТАЙСКИЙ КРАЙ,Алтайский,Алтайский край,22,"12,23"
КРАСНОЯРСКИЙ КРАЙ,Красноярский,Красноярский край,24,"13,6"
ИРКУТСКАЯ ОБЛ.,Иркутская,Иркутская обл.,38,"11,46"
КЕМЕРОВСКАЯ ОБЛ.,Кемеровская,Кемеровская обл. - Кузбасс,42,"12,65"
НОВОСИБИРСКАЯ ОБЛ.,Новосибирская,Новосибирская обл.,54,"25,94"
ОМСКАЯ ОБЛ.,Омская,Омская обл.,55,"13,97"
ТОМСКАЯ ОБЛ.,Томская,Томская обл.,70,"11,68"
ЗАБАЙКАЛЬСКИЙ КРАЙ,Забайкальский,Забайкальский край,75,"5,03"
РЕСП. САХА (ЯКУТИЯ),Саха,Саха (Якутия),14,"9,55"
ПРИМОРСКИЙ КРАЙ,Приморский,Приморский край,25,"15,86"
ХАБАРОВСКИЙ КРАЙ,Хабаровский,Хабаровский край,27,"14,85"
АМУРСКАЯ ОБЛ.,Амурская,Амурская обл.,28,"7,52"
КАМЧАТСКИЙ КРАЙ,Камчатский,Камчатский край,41,"11,29"
МАГАДАНСКАЯ ОБЛ.,Магаданская,Магаданская обл.,49,"16,65"
САХАЛИНСКАЯ ОБЛ.,Сахалинская,Сахалинская обл.,65,"13,01"
ЕВРЕЙСКАЯ А.О.,Еврейская,Еврейская АО,79,"13,29"
РЕСПУБЛИКА КРЫМ,Крым,Крым,82,
